,thanks for exmining the data,this dataset is totally fake,nice catch
1,0.415852725,0.212830506,0.486226271
2,0.90876172,0.855207813,0.343202129
3,0.255709846,0.371066189,0.199824743
4,0.617422879,0.1737024,0.202010179
5,0.408436597,0.092542952,0.095331038
6,0.699945604,0.17130805,0.013162159
7,0.618739282,0.751377968,0.943316442
8,0.844806207,0.72912258,0.602590966
9,0.244698954,0.115291492,0.760735834
10,0.334691922,0.167526006,0.781687559
11,0.119717888,0.250758883,0.635638696
12,0.503542317,0.383616668,0.100190841
13,0.862753449,0.641283973,0.27791711
14,0.991442602,0.357630631,0.113655125
15,0.927592786,0.384398171,0.995769195
16,0.718235163,0.328487834,0.15868195
17,0.73832487,0.976212232,0.426521569
18,0.919248347,0.450340337,0.577923715
19,0.754869483,0.144590355,0.169881211
20,0.237560224,0.271723009,0.206975562
21,0.330661741,0.065382002,0.877632319
22,0.26057951,0.220863647,0.107145749
23,0.952305059,0.332842987,0.121162143
24,0.863272599,0.157281055,0.739860018
25,0.918085835,0.884363668,0.349878186
26,0.058318152,0.85717984,0.456013863
27,0.909634916,0.55797167,0.532585798
28,0.108978385,0.351064372,0.301063994
29,0.410546545,0.286587364,0.060736513
30,0.571684235,0.114567495,0.987443101
31,0.86421765,0.181791344,0.944917458
32,0.888349261,0.438487537,0.855939684
33,0.693119194,0.677045317,0.200788217
34,0.413800785,0.272161228,0.968772713
35,0.322869503,0.978744077,0.308457968
36,0.814901896,0.039685066,0.262646962
37,0.046845837,0.353979802,0.837368686
38,0.210323674,0.849459379,0.910277041
39,0.167580424,0.478568697,0.527886379
40,0.153932607,0.030272161,0.678758068
41,0.327841406,0.737622866,0.848254566
42,0.804721332,0.309362774,0.670474039
43,0.307845705,0.87280805,0.704367108
44,0.073596653,0.845140699,0.875932452
45,0.744935303,0.714354711,0.695815684
46,0.009573972,0.965867187,0.170234052
47,0.024130653,0.070400221,0.418748877
48,0.553210515,0.2701068,0.724932053
49,0.176390776,0.715121443,0.650583115
50,0.376049956,0.520534203,0.203660265
51,0.496861273,0.778260889,0.0054634
52,0.721222192,0.080473139,0.137792516
53,0.767286289,0.837110525,0.381402761
54,0.615988209,0.880641316,0.058057504
55,0.610861498,0.351988086,0.186186391
56,0.142130067,0.503695208,0.766887442
57,0.726235305,0.370403156,0.402564243
58,0.483454801,0.750908049,0.36268311
59,0.987231587,0.414030116,0.145448856
60,0.189758384,0.345873206,0.59437907
61,0.480932844,0.364850063,0.408651275
62,0.674414527,0.612104544,0.704635031
63,0.90752118,0.513683515,0.767679532
64,0.669140606,0.384123124,0.860740682
65,0.652354797,0.313259059,0.570288054
66,0.600475804,0.483745038,0.42960133
67,0.087289799,0.517269093,0.794390628
68,0.490422428,0.787349315,0.409715846
69,0.158257569,0.584726967,0.675882588
70,0.25328164,0.425802793,0.864997008
71,0.764885462,0.440959572,0.388562396
72,0.537390593,0.189515328,0.810523895
73,0.491729082,0.659903959,0.041116391
74,0.652478518,0.844809849,0.034499648
75,0.072543437,0.90469356,0.375283938
76,0.847865095,0.98606938,0.54110452
77,0.81139169,0.489948162,0.843834812
78,0.410976535,0.743329494,0.473370934
79,0.269331836,0.617651833,0.940151219
80,0.827578584,0.534661722,0.149921244
81,0.017878578,0.318436735,0.865146488
82,0.477082924,0.047998567,0.397255544
83,0.436841078,0.250246373,0.775564858
84,0.391144512,0.199146564,0.787115811
85,0.03057527,0.638979182,0.046958399
86,0.015622279,0.549025933,0.762355252
87,0.697321739,0.366626101,0.141784619
88,0.072709682,0.511720793,0.055798963
89,0.066344047,0.715689544,0.835628968
90,0.069379553,0.345189219,0.623952537
91,0.586695229,0.787146869,0.985481428
92,0.686840653,0.243789645,0.883195118
93,0.574548973,0.208722248,0.80981798
94,0.123625744,0.353719913,0.424178629
95,0.676929543,0.858604416,0.46219882
96,0.13409415,0.586003025,0.94887648
97,0.861056374,0.971248215,0.401919163
98,0.973287574,0.898531447,0.683954194
99,0.580405701,0.901910538,0.675767724
100,0.528842016,0.160654887,0.706202542
101,0.408155311,0.279860976,0.167303131
102,0.243957556,0.140365639,0.758161641
103,0.990981803,0.95897006,0.007765606
104,0.518695707,0.585501559,0.856390219
105,0.468054597,0.035609745,0.056930902
106,0.064696001,0.047743211,0.598428478
