f,i,x,y
0.0758813001723,7,0.07,0.13897264316470492
0.0858649052574,9,0.09,0.050510232842261055
0.0968004845856,11,0.11,0.18382091623384605
0.18406012534699998,23,0.23,0.05762072520938663
0.285470335901,33,0.33,0.35817449368828
0.296901428604,34,0.34,0.23599998451391618
0.417547785131,45,0.437548745744,0.49208494420480586
0.446964883376,48,0.46,0.5253146342659777
0.5265764643,56,0.52,0.4709457261000055
0.547716497566,61,0.535968242653,0.5368874788598753
0.553035116624,63,0.54,0.6198416908861472
0.579259709439,66,0.56,0.5800413135109904
0.630558659818,78,0.6,0.6018868589820209
0.668477164595,90,0.630713611303,0.655974133306426
0.675252894712,92,0.6363394863,0.710405856061011
0.6894950969529999,99,0.6483259091179999,0.7200604253260652
0.703098571396,104,0.66,0.6031114511994065
0.714529664099,109,0.67,0.8970099608256101
0.753152024492,124,0.705332671896,0.64431986593403
0.766587121015,130,0.7182960323109999,0.8116776730287305
0.797580142413,145,0.74990266718,0.7485578482354291
0.8054879389659999,149,0.758416542159,0.8123265912018529
0.805731935732,150,0.758682542539,0.6463466179323681
0.806937662858,151,0.76,0.7612564959581452
0.8331446521279999,160,0.79,0.8019536885626974
0.849008843471,166,0.8096575160449999,0.7971435928912372
0.8632483195239999,173,0.8285090908660001,0.7663891432998775
0.9141350947429999,190,0.91,0.9126138474128994
0.928766622586,194,0.94,0.9361342236896623
0.937403127209,196,0.96,0.8721780693226663
